Timestamp,Division,Enrollment Number,Roll Number,URL (Google Colab Notebook or PDF Version on Google Drive)
8/5/2023 13:37:00,5B7,210303124169,5,http://localhost:8888/notebooks/house%20predection/Bangalore%20House%20Price%20Prediction-Copy1.ipynb
8/5/2023 18:44:22,5B7,210303124168,04,https://colab.research.google.com/drive/1oRIzyEbpIUCSdWqD-PewSXcjXC8t-gX8?usp=sharing
8/5/2023 22:05:12,5B7,210303124215,25,https://drive.google.com/drive/folders/1CMRf8rokyFdqELKbQ3AybIw1sp1tqKa0
8/16/2023 10:33:55,5B7,210303124207,21,https://colab.research.google.com/drive/1Iv6Ij_mz4UHOJQ4JeNNwSqxxmJDJpJ-L?usp=drive_link
8/16/2023 21:56:45,5B7,210303124176,08,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/16/2023 23:39:28,5B7,210303124180,09,https://colab.research.google.com/drive/1Z0mzefes5gDZ7RvbOwKnjyjcQC3VQYPB?usp=sharing
8/17/2023 12:54:23,5B7,210303124166,2,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 12:54:54,5B7,210303124210,22,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 12:55:16,5B7,210303124180,09,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 14:06:17,5B7,2203031247005,26,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 14:09:10,5B7,210303124201,19,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 14:19:33,5B7,210303124219,45,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 14:22:04,5B7,210303124238,55,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 14:22:09,5B7,2203031247027,36,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 21:26:56,5B7,210303124214,24,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 21:48:07,5B7,210303124228,51,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/18/2023 20:40:28,5B7,210303124226,49,Pdf
8/18/2023 21:35:59,5B7,210303124226,49,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/21/2023 7:38:37,5B7,BEHARA ROSHAN,62,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/21/2023 7:42:55,5B7,210303124251,63,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/21/2023 7:45:03,5B7,210303124262,69,https://colab.research.google.com/drive/1knZ06XuqF6E-6fVaiRPuJHzIrTjXSXOZ?usp=sharing
8/21/2023 7:46:41,5B7,2203031247008,29,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/21/2023 7:48:46,5B7,210303124188,12,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/22/2023 10:53:44,5B7,2203031247046,44,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/22/2023 11:00:26,5B7,210303124191,08,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/22/2023 21:14:37,5B7,210303124232,52,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing 
8/22/2023 21:16:51,5B7,210303124246,59,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/3/2023 18:45:10,5B8,210303124319,29,https://drive.google.com/file/d/1bgaHIjccO4_abBP6OIxXFh7Z6492ukek/view?usp=sharing
8/4/2023 10:17:31,5B8,210303124389,71,https://colab.research.google.com/drive/1NuR_UvT4iU5og_PZnFkE92R7u0jHQ3AD#scrollTo=eZU_Xp5Bqzm1
8/4/2023 10:24:37,5B8,210303124296,16,https://colab.research.google.com/drive/1yMdWCfsjs3yHZPjlycoPiRE2ybtiexBd#scrollTo=5JdAkmHO10XJ
8/4/2023 10:29:53,5B8,210303124389,71,https://colab.research.google.com/drive/1NuR_UvT4iU5og_PZnFkE92R7u0jHQ3AD#scrollTo=eZU_Xp5Bqzm1
8/4/2023 16:35:40,5B8,210303124294,14,https://colab.research.google.com/drive/1mpTozfjWhTmRxFsrIQGTrTFiw-xftQbg#scrollTo=QCg8rZwwJkY2
8/4/2023 20:18:51,5B8,210303124370,57,https://colab.research.google.com/drive/1_AuQcu9ETcBqseGUQYnYrDejDtwXS1tO#scrollTo=wvmzDgVkjgPV
